0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0.0,-0.875,1
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,-1.125,1
0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0.0,-1.2999999999999998,1
0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.0,-0.9250000000000003,1
0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0.0,-1.0750000000000002,1
1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0.0,-1.3000000000000003,1
1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0.0,-0.9000000000000004,1
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.0,-0.9249999999999998,1
1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0.0,-0.47500000000000053,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0.0,-0.6500000000000004,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.0,-0.9500000000000003,1
0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0.0,-0.9250000000000003,1
0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0.0,-1.0750000000000002,1
0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0.0,-1.0750000000000002,1
1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0.0,-0.6750000000000007,1
0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0.0,-0.8749999999999996,1
1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0.0,-1.0999999999999992,1
0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0,-0.9249999999999998,1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0.0,-1.2249999999999996,1
1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0.0,-0.875,1
1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0.0,-0.8749999999999996,1
1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0.0,-1.0749999999999993,1
0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0.0,0.5250000000000001,1
